caseid,task,user,end_timestamp,start_timestamp,Monthly Income,Total Debt,Loan Ammount,Owns Vehicle,Demographic,External Risk Score,Aggregated Risk Score
0,Start,Start,2022-02-21 09:00:00.00,2022-02-21 09:00:00.00,1376.719216,5141.332607,6772.638932,TRUE,demographic_type_2,0.193617576,0.218614202
0,Credit application received,SYSTEM,2022-02-21 09:00:00.00,2022-02-21 09:00:00.00,1376.719216,5141.332607,6772.638932,TRUE,demographic_type_2,0.193617576,0.218614202
0,Check Liability,Clerk-000001,2022-02-21 09:12:01.01,2022-02-21 09:00:00.00,1376.719216,5141.332607,6772.638932,TRUE,demographic_type_2,0.193617576,0.218614202
0,Notify rejection,Credit Officer-000001,2022-02-21 09:28:12.12,2022-02-21 09:12:01.01,1376.719216,5141.332607,6772.638932,TRUE,demographic_type_2,0.193617576,0.218614202
0,Credit application processed,SYSTEM,2022-02-21 09:28:12.12,2022-02-21 09:28:12.12,1376.719216,5141.332607,6772.638932,TRUE,demographic_type_2,0.193617576,0.218614202
0,End,End,2022-02-21 09:28:12.12,2022-02-21 09:28:12.12,1376.719216,5141.332607,6772.638932,TRUE,demographic_type_2,0.193617576,0.218614202
1,Start,Start,2022-02-21 09:18:55.55,2022-02-21 09:18:55.55,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,,0.458867638
1,Credit application received,SYSTEM,2022-02-21 09:18:55.55,2022-02-21 09:18:55.55,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,,0.458867638
1,Check Liability,Clerk-000002,2022-02-21 09:23:52.52,2022-02-21 09:18:55.55,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,,0.458867638
1,Check Risk,Clerk-000004,2022-02-21 09:30:49.49,2022-02-21 09:23:52.52,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,,0.458867638
1,Check Monthly Income,Clerk-000002,2022-02-21 09:34:56.56,2022-02-21 09:30:49.49,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,0.178482811,0.458867638
1,Notify rejection,Credit Officer-000002,2022-02-21 09:47:34.34,2022-02-21 09:34:56.56,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,0.178482811,0.458867638
1,Credit application processed,SYSTEM,2022-02-21 09:47:34.34,2022-02-21 09:47:34.34,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,0.178482811,0.458867638
1,End,End,2022-02-21 09:47:34.34,2022-02-21 09:47:34.34,207.9935985,3600.10985,8505.181087,TRUE,demographic_type_3,0.178482811,0.458867638
10,Start,Start,2022-02-21 11:09:24.24,2022-02-21 11:09:24.24,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,,0.435543366
10,Credit application received,SYSTEM,2022-02-21 11:09:24.24,2022-02-21 11:09:24.24,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,,0.435543366
10,Check Liability,Clerk-000004,2022-02-21 11:19:10.10,2022-02-21 11:09:24.24,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,,0.435543366
10,Check Risk,Clerk-000001,2022-02-21 11:29:52.52,2022-02-21 11:19:10.10,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,,0.435543366
10,Check Monthly Income,Clerk-000003,2022-02-21 11:35:32.32,2022-02-21 11:29:52.52,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,0.600755984,0.435543366
10,Assess application,Clerk-000002,2022-02-21 11:40:19.19,2022-02-21 11:35:32.32,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,0.600755984,0.435543366
10,Notify rejection,Credit Officer-000003,2022-02-21 11:54:19.19,2022-02-21 11:40:19.19,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,0.600755984,0.435543366
10,Credit application processed,SYSTEM,2022-02-21 11:54:19.19,2022-02-21 11:54:19.19,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,0.600755984,0.435543366
10,End,End,2022-02-21 11:54:19.19,2022-02-21 11:54:19.19,1054.709162,720.5887245,8669.430109,TRUE,demographic_type_3,0.600755984,0.435543366
100,Start,Start,2022-02-23 11:21:10.10,2022-02-23 11:21:10.10,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,,0.290759107
100,Credit application received,SYSTEM,2022-02-23 11:21:10.10,2022-02-23 11:21:10.10,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,,0.290759107
100,Check Liability,Clerk-000001,2022-02-23 11:30:54.54,2022-02-23 11:23:42.42,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,,0.290759107
100,Check Risk,Clerk-000003,2022-02-23 11:44:01.01,2022-02-23 11:37:51.51,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,,0.290759107
100,Notify rejection,Credit Officer-000001,2022-02-23 11:56:26.26,2022-02-23 11:44:01.01,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,0.182319805,0.290759107
100,Credit application processed,SYSTEM,2022-02-23 11:56:26.26,2022-02-23 11:56:26.26,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,0.182319805,0.290759107
100,End,End,2022-02-23 11:56:26.26,2022-02-23 11:56:26.26,1642.075326,3732.442392,19372.26849,TRUE,demographic_type_1,0.182319805,0.290759107
1000,Start,Start,2022-04-06 10:30:26.26,2022-04-06 10:30:26.26,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,,0.304842818
1000,Credit application received,SYSTEM,2022-04-06 10:30:26.26,2022-04-06 10:30:26.26,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,,0.304842818
1000,Check Liability,Clerk-000003,2022-04-06 10:38:57.57,2022-04-06 10:34:22.22,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,,0.304842818
1000,Check Risk,Clerk-000003,2022-04-06 10:45:40.40,2022-04-06 10:38:57.57,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,,0.304842818
1000,Check Monthly Income,Clerk-000002,2022-04-06 10:51:42.42,2022-04-06 10:45:40.40,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,0.147038464,0.304842818
1000,Notify rejection,Credit Officer-000003,2022-04-06 10:57:30.30,2022-04-06 10:51:42.42,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,0.147038464,0.304842818
1000,Credit application processed,SYSTEM,2022-04-06 10:57:30.30,2022-04-06 10:57:30.30,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,0.147038464,0.304842818
1000,End,End,2022-04-06 10:57:30.30,2022-04-06 10:57:30.30,71.83009916,3587.23085,2650.229616,TRUE,demographic_type_3,0.147038464,0.304842818
1001,Start,Start,2022-04-06 10:48:37.37,2022-04-06 10:48:37.37,1436.773956,7062.219177,6893.817338,TRUE,demographic_type_1,0.209202593,0.206352978
