Knockout Check,Total frequency,Case frequency,Mean Duration,Rejection rate,Rejection rule (RIPPER),Effort per rejection,Total Overprocessing Waste,Total PT Waste,Total Waiting Time Waste,Mean Waiting Time Waste
A_Validating,38816,123.19 %,0:00:00,5.0 %,[[CreditScore=<695.25^EventOrigin=Workflow^FirstWithdrawalAmount=3000.0-5000.0^NumberOfTerms=86.0-100.0^MonthlyCost=275.08-300.0]],0.0,"21649 days, 1:41:20","3372 days, 5:47:41",0:00:00,0:00:00
A_Incomplete,23055,73.17 %,0:00:00,1.3 %,[[CreditScore=<680.0^EventOrigin=Workflow^MonthlyCost=163.64-190.07^NumberOfTerms=100.0-120.0^FirstWithdrawalAmount=5500.0-7000.0]],0.0,"3458 days, 2:00:58","705 days, 14:22:29",0:00:00,0:00:00
W_Assess potential fraud,282,0.89 %,"3 days, 20:17:56",15.3 %,[[CreditScore=<694.0^FirstWithdrawalAmount=>27850.0^EventOrigin=Workflow^MonthlyCost=274.92-299.91]],21717.42,"887 days, 20:10:53","253 days, 3:43:51",0:00:00,0:00:00
O_Cancelled,20898,66.32 %,0:00:00,0.2 %,[[OfferedAmount=6000.0-7000.0^FirstWithdrawalAmount=88.0-1427.38^NumberOfTerms=100.0-120.0^EventOrigin=Workflow]],0.0,"268 days, 23:17:38","25 days, 2:58:44",0:00:00,0:00:00
O_Created,42995,136.45 %,0:00:00,0.1 %,[[EventOrigin=Workflow^FirstWithdrawalAmount=10000.0-11000.0^OfferedAmount=27000.0-30000.0]],0.0,"47 days, 13:12:47","1 days, 17:38:39",0:00:00,0:00:00
A_Complete,31362,99.53 %,0:00:00,0.3 %,[[CreditScore=<674.25^EventOrigin=Workflow^OfferedAmount=<6000.0^MonthlyCost=240.0-250.0^FirstWithdrawalAmount=3000.0-5000.0]],0.0,"781 days, 11:21:59","121 days, 13:53:35",0:00:00,0:00:00
O_Returned,23305,73.96 %,0:00:00,10.1 %,[[EventOrigin=Workflow^CreditScore=<675.0^OfferedAmount=<6000.0^MonthlyCost=118.15-147.62^NumberOfTerms=45.0-49.0] V [EventOrigin=Workflow^CreditScore=<675.0^OfferedAmount=<6000.0]],0.0,"33966 days, 10:43:29","4115 days, 21:17:28",0:00:00,0:00:00
O_Sent (mail and online),39707,126.02 %,0:00:00,0.0 %,[[EventOrigin=Workflow^OfferedAmount=7000.0-8000.0^FirstWithdrawalAmount=3000.0-5000.0^NumberOfTerms=56.0-58.0]],,"268 days, 7:12:46","64 days, 1:48:11",2:55:49,0:00:00
W_Validate application,15848,50.3 %,"2 days, 9:17:36",0.4 %,[[EventOrigin=Workflow^CreditScore=<670.0^FirstWithdrawalAmount=8000.0-10000.0^MonthlyCost=118.15-148.19^NumberOfTerms=78.0-87.0]],515641.29,"1361 days, 17:16:08","576 days, 17:20:20",0:00:00,0:00:00
O_Sent (online only),2026,6.43 %,0:00:00,0.3 %,[[NumberOfTerms=88.0-100.0^MonthlyCost=397.59-448.9^FirstWithdrawalAmount=10835.75-15000.0]],0.0,"77 days, 11:02:46","7 days, 14:30:05",0:00:00,0:00:00
W_Call incomplete files,2793,8.86 %,"7 days, 8:11:59",0.0 %,[],inf,"33 days, 14:15:59","4 days, 22:25:47",0:00:00,0:00:00
